mm-yy,color,count,pct
2022-04,B,106,0.1718
2022-04,G,50,0.081
2022-04,R,174,0.282
2022-04,U,236,0.3825
2022-04,W,51,0.0827
2022-05,B,82,0.1291
2022-05,G,170,0.2677
2022-05,R,161,0.2535
2022-05,U,166,0.2614
2022-05,W,56,0.0882
2022-07,B,85,0.1259
2022-07,G,200,0.2963
2022-07,R,55,0.0815
2022-07,U,175,0.2593
2022-07,W,160,0.237
2022-09,B,127,0.1991
2022-09,G,108,0.1693
2022-09,R,136,0.2132
2022-09,U,93,0.1458
2022-09,W,174,0.2727
2022-10,B,20,0.1117
2022-10,G,41,0.2291
2022-10,R,42,0.2346
2022-10,U,50,0.2793
2022-10,W,26,0.1453
2022-11,B,136,0.1062
2022-11,G,287,0.2242
2022-11,R,271,0.2117
2022-11,U,372,0.2906
2022-11,W,214,0.1672
2022-12,B,246,0.1584
2022-12,G,318,0.2048
2022-12,R,319,0.2054
2022-12,U,420,0.2704
2022-12,W,250,0.161
2023-01,B,127,0.1456
2023-01,G,140,0.1606
2023-01,R,175,0.2007
2023-01,U,312,0.3578
2023-01,W,118,0.1353
2023-02,B,255,0.1097
2023-02,G,370,0.1592
2023-02,R,529,0.2276
2023-02,U,812,0.3494
2023-02,W,358,0.154
2023-03,B,146,0.0742
2023-03,G,282,0.1433
2023-03,R,604,0.3069
2023-03,U,675,0.343
2023-03,W,261,0.1326
2023-04,B,105,0.0551
2023-04,G,202,0.106
2023-04,R,386,0.2026
2023-04,U,790,0.4147
2023-04,W,422,0.2215
2023-05,B,215,0.1394
2023-05,G,302,0.1958
2023-05,R,339,0.2198
2023-05,U,435,0.2821
2023-05,W,251,0.1628
2023-06,B,130,0.1368
2023-06,G,106,0.1116
2023-06,R,252,0.2653
2023-06,U,212,0.2232
2023-06,W,250,0.2632
2023-07,B,247,0.1273
2023-07,G,198,0.102
2023-07,R,321,0.1654
2023-07,U,748,0.3854
2023-07,W,427,0.22
2023-08,B,597,0.1559
2023-08,G,484,0.1264
2023-08,R,654,0.1708
2023-08,U,1456,0.3803
2023-08,W,638,0.1666
2023-09,B,468,0.165
2023-09,G,271,0.0955
2023-09,R,513,0.1808
2023-09,U,1166,0.411
2023-09,W,419,0.1477
2023-10,B,320,0.0993
2023-10,G,395,0.1226
2023-10,R,926,0.2873
2023-10,U,954,0.296
2023-10,W,628,0.1948
2023-11,B,346,0.1059
2023-11,G,304,0.0931
2023-11,R,677,0.2073
2023-11,U,1299,0.3977
2023-11,W,640,0.196
2023-12,B,383,0.158
2023-12,G,249,0.1027
2023-12,R,455,0.1877
2023-12,U,958,0.3952
2023-12,W,379,0.1564
2024-01,B,484,0.1168
2024-01,G,454,0.1095
2024-01,R,1168,0.2818
2024-01,U,1281,0.309
2024-01,W,758,0.1829
2024-02,B,442,0.1125
2024-02,G,544,0.1385
2024-02,R,932,0.2373
2024-02,U,1340,0.3411
2024-02,W,670,0.1706
2024-03,B,697,0.1261
2024-03,G,1021,0.1848
2024-03,R,1391,0.2517
2024-03,U,1798,0.3254
2024-03,W,619,0.112
2024-04,B,797,0.1609
2024-04,G,726,0.1466
2024-04,R,965,0.1949
2024-04,U,1620,0.3271
2024-04,W,844,0.1704
2024-05,B,1277,0.1699
2024-05,G,1079,0.1435
2024-05,R,1735,0.2308
2024-05,U,1994,0.2652
2024-05,W,1433,0.1906
2024-06,B,1019,0.142
2024-06,G,1398,0.1948
2024-06,R,1514,0.211
2024-06,U,2133,0.2972
2024-06,W,1112,0.155
2024-07,B,798,0.1655
2024-07,G,770,0.1597
2024-07,R,945,0.196
2024-07,U,1359,0.2819
2024-07,W,949,0.1968
2024-08,B,978,0.1751
2024-08,G,791,0.1417
2024-08,R,1020,0.1827
2024-08,U,1858,0.3327
2024-08,W,937,0.1678
2024-09,B,776,0.178
2024-09,G,783,0.1796
2024-09,R,769,0.1764
2024-09,U,1324,0.3037
2024-09,W,707,0.1622
2024-10,B,1205,0.1993
2024-10,G,921,0.1523
2024-10,R,964,0.1594
2024-10,U,2003,0.3313
2024-10,W,953,0.1576
2024-11,B,918,0.1607
2024-11,G,909,0.1591
2024-11,R,1042,0.1824
2024-11,U,1612,0.2821
2024-11,W,1233,0.2158
2024-12,B,745,0.192
2024-12,G,583,0.1503
