mm-yy,color,count,pct
2022-04,B,106,0.17179902755267423
2022-04,G,50,0.08103727714748785
2022-04,R,174,0.2820097244732577
2022-04,U,236,0.3824959481361426
2022-04,W,51,0.08265802269043761
2022-05,B,82,0.12913385826771653
2022-05,G,170,0.2677165354330709
2022-05,R,161,0.25354330708661416
2022-05,U,166,0.2614173228346457
2022-05,W,56,0.08818897637795275
2022-07,B,85,0.1259259259259259
2022-07,G,200,0.2962962962962963
2022-07,R,55,0.08148148148148149
2022-07,U,175,0.25925925925925924
2022-07,W,160,0.23703703703703705
2022-09,B,127,0.19905956112852666
2022-09,G,108,0.16927899686520376
2022-09,R,136,0.21316614420062696
2022-09,U,93,0.14576802507836992
2022-09,W,174,0.2727272727272727
2022-10,B,20,0.11173184357541899
2022-10,G,41,0.22905027932960895
2022-10,R,42,0.2346368715083799
2022-10,U,50,0.27932960893854747
2022-10,W,26,0.1452513966480447
2022-11,B,136,0.10625
2022-11,G,287,0.22421875
2022-11,R,271,0.21171875
2022-11,U,372,0.290625
2022-11,W,214,0.1671875
2022-12,B,246,0.15840309079201545
2022-12,G,318,0.20476497102382485
2022-12,R,319,0.20540888602704443
2022-12,U,420,0.27044430135222153
2022-12,W,250,0.16097875080489377
2023-01,B,127,0.14564220183486237
2023-01,G,140,0.16055045871559634
2023-01,R,175,0.2006880733944954
2023-01,U,312,0.3577981651376147
2023-01,W,118,0.1353211009174312
2023-02,B,255,0.10972461273666093
2023-02,G,370,0.15920826161790017
2023-02,R,529,0.22762478485370052
2023-02,U,812,0.3493975903614458
2023-02,W,358,0.1540447504302926
2023-03,B,146,0.0741869918699187
2023-03,G,282,0.14329268292682926
2023-03,R,604,0.30691056910569103
2023-03,U,675,0.3429878048780488
2023-03,W,261,0.1326219512195122
2023-04,B,105,0.05511811023622047
2023-04,G,202,0.10603674540682415
2023-04,R,386,0.2026246719160105
2023-04,U,790,0.4146981627296588
2023-04,W,422,0.2215223097112861
2023-05,B,215,0.13942931258106356
2023-05,G,302,0.19584954604409857
