Card,Points,Last Updated
Ancestral Recall,8,2024-01-01
Black Lotus,7,2021-11-11
Flash,7,2023-10-02
Time Vault,7,2021-11-11
Mana Crypt,5,2022-10-24
Thassa's Oracle,5,2026-03-02
Time Walk,5,2026-03-02
Demonic Tutor,3,2024-01-01
Mox Emerald,3,2021-11-11
Mox Jet,3,2021-11-11
Mox Pearl,3,2021-11-11
Mox Ruby,3,2021-11-11
Mox Sapphire,3,2021-11-11
Sol Ring,3,2025-01-07
Tinker,3,2021-11-11
Underworld Breach,3,2022-10-24
Mystical Tutor,2,2026-01-05
Vampiric Tutor,2,2021-11-11
Ancient Tomb,1,2024-06-11
Balance,1,2025-05-12
Dig Through Time,1,2021-11-11
Forth Eorlingas!,1,2024-01-01
Gifts Ungiven,1,2024-01-01
Imperial Seal,1,2021-11-11
Intuition,1,2021-11-11
Mana Drain,1,2021-11-11
Mana Vault,1,2021-11-11
Merchant Scroll,1,2025-05-12
"Nadu, Winged Wisdom",1,2025-05-12
Natural Order,1,2024-06-11
Psychic Frog,1,2025-01-07
Reanimate,1,2025-01-07
Strip Mine,1,2024-10-24
Tainted Pact,1,2021-11-11
"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",1,2026-03-02
The One Ring,1,2026-03-02
Tolarian Academy,1,2021-11-11
Treasure Cruise,1,2021-11-11
True-Name Nemesis,1,2021-11-11
Urza's Saga,1,2025-01-07
White Plume Adventurer,1,2025-01-07
Wishclaw Talisman,1,2021-11-11
Wrenn and Six,1,2024-10-24
