year_month,card,plays,playrate,release_month
2024-04,"Breya, Etherium Shaper",1,0.0154,2016-11
2025-10,Humility,1,0.0108,1997-10
2023-12,Humility,1,0.0323,1997-10
2024-04,Humility,1,0.0154,1997-10
2026-02,Humility,1,0.006,1997-10
2024-08,"Casal, Lurkwood Pathfinder // Casal, Pathbreaker Owlbear",1,0.0149,2023-03
2024-12,"Dina, Soul Steeper",1,0.0204,2021-04
2025-12,Dreadmaw's Ire,1,0.0127,2023-11
2025-11,Dreadmaw's Ire,2,0.0217,2023-11
2025-10,Dreadmaw's Ire,1,0.0108,2023-11
2025-09,Dreadmaw's Ire,2,0.023,2023-11
2025-07,Dreadmaw's Ire,1,0.0147,2023-11
2024-11,Dreadmaw's Ire,2,0.0278,2023-11
2024-03,Dreadmaw's Ire,1,0.0145,2023-11
2024-09,Dreadmaw's Ire,2,0.0357,2023-11
2024-08,Dreadmaw's Ire,2,0.0299,2023-11
2024-07,Dreadmaw's Ire,1,0.0164,2023-11
2024-01,Dreadmaw's Ire,1,0.0185,2023-11
2024-05,Dreadmaw's Ire,1,0.0106,2023-11
2023-11,Dreadmaw's Ire,1,0.0233,2023-11
2024-02,Dreadmaw's Ire,1,0.02,2023-11
2026-01,Dreadmaw's Ire,1,0.009,2023-11
2026-02,Dreadmaw's Ire,2,0.0119,2023-11
2024-07,"Elspeth, Sun's Champion",1,0.0164,2013-09
2023-08,Sorin the Mirthless,1,0.0213,2021-11
2022-04,Sorin the Mirthless,1,0.125,2021-11
2023-10,Sorin the Mirthless,1,0.0244,2021-11
2024-02,Sorin the Mirthless,1,0.02,2021-11
2024-08,Secluded Courtyard,1,0.0149,2022-02
2022-12,Secluded Courtyard,1,0.0556,2022-02
2026-02,Secluded Courtyard,2,0.0119,2022-02
2026-03,Secluded Courtyard,1,0.012,2022-02
2025-01,Unwind,1,0.0089,2018-04
2025-11,"Valakut, the Molten Pinnacle",1,0.0109,2009-10
2025-10,"Valakut, the Molten Pinnacle",2,0.0215,2009-10
2025-09,"Valakut, the Molten Pinnacle",2,0.023,2009-10
2025-08,"Valakut, the Molten Pinnacle",2,0.0179,2009-10
2025-07,"Valakut, the Molten Pinnacle",5,0.0735,2009-10
2025-06,"Valakut, the Molten Pinnacle",1,0.0115,2009-10
2025-05,"Valakut, the Molten Pinnacle",2,0.0202,2009-10
2025-04,"Valakut, the Molten Pinnacle",1,0.0125,2009-10
2025-03,"Valakut, the Molten Pinnacle",2,0.0198,2009-10
2025-02,"Valakut, the Molten Pinnacle",2,0.0351,2009-10
2025-01,"Valakut, the Molten Pinnacle",1,0.0089,2009-10
2024-11,"Valakut, the Molten Pinnacle",2,0.0278,2009-10
2024-12,"Valakut, the Molten Pinnacle",2,0.0408,2009-10
2024-03,"Valakut, the Molten Pinnacle",4,0.058,2009-10
2024-09,"Valakut, the Molten Pinnacle",1,0.0179,2009-10
2024-08,"Valakut, the Molten Pinnacle",2,0.0299,2009-10
2024-07,"Valakut, the Molten Pinnacle",1,0.0164,2009-10
2023-05,"Valakut, the Molten Pinnacle",1,0.0526,2009-10
2024-06,"Valakut, the Molten Pinnacle",2,0.0227,2009-10
2024-01,"Valakut, the Molten Pinnacle",1,0.0185,2009-10
2024-05,"Valakut, the Molten Pinnacle",1,0.0106,2009-10
2023-07,"Valakut, the Molten Pinnacle",2,0.08,2009-10
2023-08,"Valakut, the Molten Pinnacle",1,0.0213,2009-10
2023-11,"Valakut, the Molten Pinnacle",2,0.0465,2009-10
2023-09,"Valakut, the Molten Pinnacle",1,0.0294,2009-10
2023-10,"Valakut, the Molten Pinnacle",1,0.0244,2009-10
2023-12,"Valakut, the Molten Pinnacle",2,0.0645,2009-10
2024-04,"Valakut, the Molten Pinnacle",3,0.0462,2009-10
2024-02,"Valakut, the Molten Pinnacle",3,0.06,2009-10
2026-01,"Valakut, the Molten Pinnacle",1,0.009,2009-10
2026-02,"Valakut, the Molten Pinnacle",2,0.0119,2009-10
2026-03,"Valakut, the Molten Pinnacle",1,0.012,2009-10
2025-12,Faithless Looting,5,0.0633,2012-02
2025-11,Faithless Looting,3,0.0326,2012-02
2025-10,Faithless Looting,5,0.0538,2012-02
2025-09,Faithless Looting,8,0.092,2012-02
2025-08,Faithless Looting,10,0.0893,2012-02
2025-07,Faithless Looting,8,0.1176,2012-02
2025-06,Faithless Looting,5,0.0575,2012-02
2022-11,Faithless Looting,3,0.1875,2012-02
2025-05,Faithless Looting,7,0.0707,2012-02
2025-04,Faithless Looting,6,0.075,2012-02
2025-03,Faithless Looting,10,0.099,2012-02
2025-02,Faithless Looting,3,0.0526,2012-02
2025-01,Faithless Looting,7,0.0625,2012-02
2024-11,Faithless Looting,7,0.0972,2012-02
2024-12,Faithless Looting,1,0.0204,2012-02
2024-10,Faithless Looting,5,0.0649,2012-02
2024-03,Faithless Looting,6,0.087,2012-02
2024-09,Faithless Looting,3,0.0536,2012-02
2024-08,Faithless Looting,3,0.0448,2012-02
2024-07,Faithless Looting,2,0.0328,2012-02
2023-05,Faithless Looting,3,0.1579,2012-02
2022-10,Faithless Looting,1,0.5,2012-02
2024-06,Faithless Looting,2,0.0227,2012-02
2024-01,Faithless Looting,4,0.0741,2012-02
2023-02,Faithless Looting,6,0.2143,2012-02
2024-05,Faithless Looting,5,0.0532,2012-02
2022-12,Faithless Looting,5,0.2778,2012-02
2023-01,Faithless Looting,2,0.2,2012-02
2023-03,Faithless Looting,3,0.125,2012-02
2023-04,Faithless Looting,2,0.0833,2012-02
2023-06,Faithless Looting,1,0.0833,2012-02
2023-07,Faithless Looting,3,0.12,2012-02
2023-08,Faithless Looting,1,0.0213,2012-02
2023-11,Faithless Looting,6,0.1395,2012-02
2023-09,Faithless Looting,5,0.1471,2012-02
2022-05,Faithless Looting,4,0.5,2012-02
2022-07,Faithless Looting,3,0.375,2012-02
2022-09,Faithless Looting,2,0.25,2012-02
2023-10,Faithless Looting,3,0.0732,2012-02
2023-12,Faithless Looting,2,0.0645,2012-02
2024-04,Faithless Looting,1,0.0154,2012-02
2024-02,Faithless Looting,1,0.02,2012-02
2026-01,Faithless Looting,8,0.0721,2012-02
2026-02,Faithless Looting,14,0.0833,2012-02
2026-03,Faithless Looting,6,0.0723,2012-02
2025-11,Radiant Flames,1,0.0109,2015-10
2025-01,Radiant Flames,1,0.0089,2015-10
2024-10,Radiant Flames,1,0.013,2015-10
2024-09,Radiant Flames,1,0.0179,2015-10
2024-06,Radiant Flames,1,0.0114,2015-10
2025-12,Strip Mine,10,0.1266,1994-03
2025-11,Strip Mine,10,0.1087,1994-03
2025-10,Strip Mine,17,0.1828,1994-03
2025-09,Strip Mine,18,0.2069,1994-03
2025-08,Strip Mine,24,0.2143,1994-03
2025-07,Strip Mine,12,0.1765,1994-03
2025-06,Strip Mine,15,0.1724,1994-03
2022-11,Strip Mine,1,0.0625,1994-03
2025-05,Strip Mine,20,0.202,1994-03
2025-04,Strip Mine,8,0.1,1994-03
2025-03,Strip Mine,19,0.1881,1994-03
2025-02,Strip Mine,15,0.2632,1994-03
2025-01,Strip Mine,20,0.1786,1994-03
2024-11,Strip Mine,33,0.4583,1994-03
2024-12,Strip Mine,18,0.3673,1994-03
2024-10,Strip Mine,14,0.1818,1994-03
2024-03,Strip Mine,13,0.1884,1994-03
2024-09,Strip Mine,5,0.0893,1994-03
2024-08,Strip Mine,7,0.1045,1994-03
2024-07,Strip Mine,4,0.0656,1994-03
2023-05,Strip Mine,3,0.1579,1994-03
2024-06,Strip Mine,16,0.1818,1994-03
2024-01,Strip Mine,14,0.2593,1994-03
2023-02,Strip Mine,1,0.0357,1994-03
2024-05,Strip Mine,23,0.2447,1994-03
2022-12,Strip Mine,1,0.0556,1994-03
2023-03,Strip Mine,4,0.1667,1994-03
2023-04,Strip Mine,1,0.0417,1994-03
2023-06,Strip Mine,1,0.0833,1994-03
