Date,Card,Old Value,New Value
11/11/2021,Balance,0,1
11/11/2021,Birthing Pod,0,1
11/11/2021,Crop Rotation,0,1
11/11/2021,Dig Through Time,0,1
11/11/2021,Imperial Seal,0,1
11/11/2021,Intuition,0,1
11/11/2021,Library of Alexandria,0,1
11/11/2021,Mana Drain,0,1
11/11/2021,Mana Vault,0,1
11/11/2021,Merchant Scroll,0,1
11/11/2021,Mind Twist,0,1
11/11/2021,Price of Progress,0,1
11/11/2021,Summoner's Pact,0,1
11/11/2021,Tainted Pact,0,1
11/11/2021,Tolarian Academy,0,1
11/11/2021,Transmute Artifact,0,1
11/11/2021,Treasure Cruise,0,1
11/11/2021,True-Name Nemesis,0,1
11/11/2021,Umezawa's Jitte,0,1
11/11/2021,Wishclaw Talisman,0,1
11/11/2021,Gifts Ungiven,0,2
11/11/2021,Mystical Tutor,0,2
11/11/2021,Protean Hulk,0,2
11/11/2021,Spellseeker,0,2
11/11/2021,Survival of the Fittest,0,2
11/11/2021,Underworld Breach,0,2
11/11/2021,Vampiric Tutor,0,2
11/11/2021,Yawgmoth's Will,0,2
11/11/2021,Mox Emerald,0,3
11/11/2021,Mox Jet,0,3
11/11/2021,Mox Pearl,0,3
11/11/2021,Mox Ruby,0,3
11/11/2021,Mox Sapphire,0,3
11/11/2021,Natural Order,0,3
11/11/2021,Strip Mine,0,3
11/11/2021,Sol Ring,0,4
11/11/2021,Tinker,0,3
11/11/2021,Demonic Tutor,0,4
11/11/2021,Mana Crypt,0,4
11/11/2021,Flash,0,5
11/11/2021,Ancestral Recall,0,7
11/11/2021,Black Lotus,0,7
11/11/2021,Thassa's Oracle,0,7
11/11/2021,Time Vault,0,7
11/11/2021,Time Walk,0,7
10/24/2022,Spellseeker,2,3
10/24/2022,Umezawa's Jitte,1,2
10/24/2022,Underworld Breach,2,3
10/24/2022,Mana Crypt,4,5
10/24/2022,Yawgmoth's Will,2,1
10/24/2022,Protean Hulk,2,0
5/1/2023,Balance,1,0
5/1/2023,Library of Alexandria,1,0
5/1/2023,Mind Twist,1,0
5/1/2023,Mystical Tutor,2,1
5/1/2023,Summoner's Pact,1,0
5/1/2023,Survival of the Fittest,2,1
10/2/2023,Flash,5,7
10/2/2023,Crop Rotation,1,0
10/2/2023,Price of Progress,1,0
10/2/2023,Transmute Artifact,1,0
1/1/2024,Ancestral Recall,7,8
1/1/2024,Forth Eorlingas!,0,1
1/1/2024,Birthing Pod,1,0
1/1/2024,Gifts Ungiven,2,1
1/1/2024,Spellseeker,3,2
1/1/2024,Umezawa's Jitte,2,1
1/1/2024,Natural Order,3,2
1/1/2024,Demonic Tutor,4,3
1/1/2024,Strip Mine,3,2
6/11/2024,Ancient Tomb,0,1
6/11/2024,Time Walk,7,6
6/11/2024,Merchant Scroll,1,0
6/11/2024,Spellseeker,2,1
6/11/2024,Yawgmoth's Will,1,0
6/11/2024,Natural Order,2,1
6/11/2024,Umezawa's Jitte,1,0
10/24/2024,Wrenn and Six,0,1
10/24/2024,Thassa's Oracle,7,6
10/24/2024,Strip Mine,2,1
1/7/2025,"Minsc & Boo, Timeless Heroes",0,1
1/7/2025,Psychic Frog,0,1
1/7/2025,Reanimate,0,1
1/7/2025,Urza's Saga,0,1
1/7/2025,White Plume Adventurer,0,1
1/7/2025,Sol Ring,4,3
1/7/2025,Spellseeker,1,0
1/7/2025,Survival of the Fittest,1,0
5/12/2025,Balance,0,1
5/12/2025,"Nadu, Winged Wisdom",0,1
5/12/2025,Merchant Scroll,0,1
1/5/2026,Mystical Tutor,1,2
3/2/2026,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",0,1
3/2/2026,The One Ring,0,1
3/2/2026,"Minsc & Boo, Timeless Heroes",1,0
3/2/2026,Thassa's Oracle,6,5
3/2/2026,Time Walk,6,5
