mm-yy,set,count
2022-04,Adventures in the Forgotten Realms,1
2022-04,Aether Revolt,6
2022-04,Aetherdrift,0
2022-04,Aetherdrift Commander,0
2022-04,Alara Reborn,0
2022-04,Alliances,6
2022-04,Amonkhet,9
2022-04,Amonkhet Invocations,0
2022-04,Antiquities,1
2022-04,Apocalypse,2
2022-04,Arabian Nights,0
2022-04,Arena League 2003,0
2022-04,Arena League 2004,2
2022-04,Arena League 2006,0
2022-04,Assassin's Creed,0
2022-04,Avacyn Restored,0
2022-04,Avacyn Restored Promos,0
2022-04,Avatar: The Last Airbender,0
2022-04,Avatar: The Last Airbender Eternal,0
2022-04,Battle for Zendikar,1
2022-04,Battlebond,1
2022-04,Betrayers of Kamigawa,1
2022-04,Bloomburrow,0
2022-04,Bloomburrow Commander,0
2022-04,Born of the Gods,1
2022-04,Champions of Kamigawa,4
2022-04,Coldsnap,0
2022-04,Commander 2011,0
2022-04,Commander 2013,5
2022-04,Commander 2014,1
2022-04,Commander 2015,4
2022-04,Commander 2016,0
2022-04,Commander 2018,4
2022-04,Commander 2019,3
2022-04,Commander 2020,2
2022-04,Commander 2021,3
2022-04,Commander Legends,7
2022-04,Commander Legends: Battle for Baldur's Gate,0
2022-04,Commander Masters,0
2022-04,Conflux,0
2022-04,Conspiracy,1
2022-04,Conspiracy: Take the Crown,4
2022-04,Core Set 2019,2
2022-04,Core Set 2020,6
2022-04,Core Set 2021,5
2022-04,Crimson Vow Commander,0
2022-04,Dark Ascension,4
2022-04,Dark Ascension Promos,0
2022-04,Darksteel,6
2022-04,Dissension,4
2022-04,Doctor Who,0
2022-04,Dominaria,1
2022-04,Dominaria United,0
2022-04,Dominaria United Commander,0
2022-04,Dragon's Maze,0
2022-04,Dragon's Maze Promos,0
2022-04,Dragons of Tarkir,1
2022-04,Duel Decks: Blessed vs. Cursed,0
2022-04,Duel Decks: Izzet vs. Golgari,0
2022-04,Duel Decks: Zendikar vs. Eldrazi,0
2022-04,Duskmourn: House of Horror,0
2022-04,Duskmourn: House of Horror Commander,0
2022-04,Edge of Eternities,0
2022-04,Edge of Eternities Commander,0
2022-04,Eldritch Moon,11
2022-04,Eventide,0
2022-04,Exodus,2
2022-04,Fallen Empires,1
2022-04,Fallout,0
2022-04,Fate Reforged,3
2022-04,Fifth Dawn,5
2022-04,Final Fantasy,0
2022-04,Final Fantasy Commander,0
2022-04,Forgotten Realms Commander,0
2022-04,Foundations,0
2022-04,Foundations Jumpstart,0
2022-04,Friday Night Magic 2003,0
2022-04,Friday Night Magic 2011,0
2022-04,Friday Night Magic 2012,0
2022-04,Friday Night Magic 2013,0
2022-04,Friday Night Magic 2014,0
2022-04,Friday Night Magic 2015,0
2022-04,Friday Night Magic 2016,0
2022-04,Friday Night Magic 2017,4
2022-04,From the Vault: Legends,0
2022-04,Future Sight,7
2022-04,Game Day Promos,0
2022-04,Gatecrash,1
2022-04,Guildpact,2
2022-04,Guilds of Ravnica,7
2022-04,HarperPrism Book Promos,3
2022-04,Homelands,0
2022-04,Hour of Devastation,4
2022-04,Ice Age,8
2022-04,Ikoria: Lair of Behemoths,5
2022-04,Innistrad,5
2022-04,Innistrad: Crimson Vow,6
2022-04,Innistrad: Midnight Hunt,16
2022-04,Invasion,4
2022-04,Ixalan,3
2022-04,Journey into Nyx,2
2022-04,Journey into Nyx Promos,0
2022-04,Judge Gift Cards 1998,1
2022-04,Judgment,1
2022-04,Jumpstart,0
2022-04,Jumpstart 2022,0
2022-04,Jurassic World Collection,0
2022-04,Kaladesh,7
2022-04,Kaladesh Inventions,1
2022-04,Kaldheim,1
2022-04,Kamigawa: Neon Dynasty,5
2022-04,Khans of Tarkir,5
2022-04,Legends,7
2022-04,Legions,0
2022-04,Limited Edition Alpha,27
2022-04,Limited Edition Beta,0
2022-04,Lorwyn,13
2022-04,Lorwyn Eclipsed,0
2022-04,Lorwyn Eclipsed Commander,0
